camarapk,nome,UFNasc,UFAtuacao,codinomes,partidos,profissoes,cargos,legislaturas,foto,veja,politicosorg,wiki,curriculo,votocunha,urls,outros
192908,Rogério Schumann Rosso,RJ,,Rogério Rosso,PMDB,Advogado e Músico,,53.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192908&tipo=0,
192914,Fredo Ebling Júnior,RS,,Fredo Júnior,PCdoB,Economista,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192914&tipo=0,
192946,Raimundo Taraskevicius Sales,MG,,Salles,"DEM,PFL","Advogado, Professor Universitário e Contabilista",,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192946&tipo=0,
192959,Luís Acácio de Sousa Junior,CE,,Acácio Júnior,PSB,Superior,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192959&tipo=0,
193031,Roberto Dorner,SC,,Roberto Dorner,"PP,PSD",Agropecuarista e Empresário,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193031&tipo=0,
193033,João Dudimar de Azevedo Paxiúba,PA,,Dudimar Paxiuba,PROS,Advogado,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193033&tipo=0,
193035,André Teixeira Dias,PA,,André Dias,PSDB,Economista e Bacharel em Direito,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193035&tipo=0,
193038,Luiz Otavio Oliveira Campos,PA,,Luiz Otavio,PMDB,Administrador,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193038&tipo=0,
193039,Carlos Alberto Lopes,RJ,,Dr. Carlos Alberto,PMN,Administrador,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193039&tipo=0,
193041,Luiz Noé Souza Soares,RS,,Luiz Noé,PSB,Advogado e Agricultor Familiar,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193041&tipo=0,
193045,Eliane Pontes Rolim,RJ,,Eliane Rolim,PT,,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193045&tipo=0,
193046,Acelino Freitas,BA,,Acelino Popó,PRB,Empresário,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193046&tipo=0,
193051,Luiz Hiloshi Nishimori,PR,,Luiz Nishimori,PR,Agricultor e Comerciante,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193051&tipo=0,
193053,Maurício Alexandre Dziedricki,PR,,Maurício Dziedricki,PTB,Advogado e Empresário,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193053&tipo=0,
193056,Valdivino Jose de Oliveira,GO,,Valdivino De Oliveira,PSDB,,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193056&tipo=0,
193057,Roberto Policarpo Fagundes,RN,,Policarpo,PT,Servidor Público e Agrônomo,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193057&tipo=0,
