"id","nome","UF","codinomes","partidos","profissoes","legislaturas","urls"
"178858","Mario Silvio Mendes Negromonte Junior","BA","Mário Negromonte Jr.","PP","Bacharel Em Direito","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178858"
"178855","Antonio Lazaro Silva","BA","","","","","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178855"
"100779","Saulo Levindo Coelho","Belo Horizonte, MG","SAULO COELHO - PSDB/MG","PFL; PSDB, 1990-.","Administrador","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100779&tipo=0"
"178856","Joao Gualberto Vasconcelos","SE","João Gualberto","PSDB","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178856"
"178853","Luiz Carlos Caetano","BA","Caetano","PT","Farmacêutico Bioquímico","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178853"
"178854","Elmar Jose Vieira Nascimento","BA","Elmar Nascimento","PMDB","Advogado(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178854"
"178851","Joziane Araujo Nascimento Rocha","PA","","PTN","","","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178851"
"178852","Marcos Jose Reategui Souza","AP","Marcos Reategui","PSD","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178852"
"108967","Jorge Catarino Leonardeli Boeira","RS","Jorge Boeira","PT,PSD,PP","Engenheiro Mecânico","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108967&tipo=0"
"178850","Marcos Sergio Rotta","PR","Marcos Rotta","PP,PHS,PEN,PEN","Jornalista,publicitário","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178850"
"107639","Maurício Quintella Malta Lessa","AL","Maurício Quintella Lessa","PL,PR","Servidor Público Federal","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=107639&tipo=0"
"108540","José Divino Oliveira de Souza","Rio Negro, MS","JOSÉ DIVINO - S.PARTIDO/RJ","PMDB, 1985-1999; PL, 1999-2001; PMDB, 2001-2005; PMR, 2005-2006; S.PARTIDO, 2006-.","Radialista, Locutor, Técnico em Transações Imobiliárias, Impressor Gráfico, Promotor de Vendas e Animador","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108540&tipo=0"
"195390","Wadson Nathaniel Ribeiro","MG","Wadson Ribeiro","PCdoB","","54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195390&tipo=0"
