camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
100597		Osvaldo Roberto Sobrinho	Osvaldo Sobrinho		SP		ARENA,PP,PMDB,PTB,PSDB,PTB	Advogado, Economista, Professor e Empresário								http://www.camara.gov.br/internet/deputado/bandep/73571.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100597&tipo=0	
100618		Yvonilton Borges Gonçalves	Yvonilton Gonçalves		BA		PSDB,PMDB,PPB,PFL	Produtor Rural								http://www.camara.gov.br/internet/deputado/bandep/73573.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100618&tipo=0	
100643		Paulo Cardoso de Almeida	Paulo De Almeida		RJ		PTB,PDC,PTR,PSD,PPB,PST,PFL	Fiscal de Rendas e Tesoureiro								http://www.camara.gov.br/internet/deputado/bandep/73576.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100643&tipo=0	
100655		João Alberto Fraga Silva	Alberto Fraga		SE		PMDB,PTB,PFL,DEM	Coronel da Polícia Militar		52,53,55						http://www.camara.gov.br/internet/deputado/bandep/73579.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100655&tipo=0	
100669		Aloízio Santos	Aloízio Santos		SE		PSDB,MDB,PMDB,PDS,PMDB,PDT	Advogado, Contador e Comerciário								http://www.camara.gov.br/internet/deputado/bandep/73581.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100669&tipo=0	
100750		Renato da Silva	Renato Silva		SC		PP,PMDB,PDC,PPR,PPB,PSDB	Fazendeiro e Radiodifusor								http://www.camara.gov.br/internet/deputado/bandep/73591.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100750&tipo=0	
100763		Rainel Barbosa Araújo	Rainel Barbosa		TO		PFL,PDT,PSDB,PMDB	Professor								http://www.camara.gov.br/internet/deputado/bandep/73593.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100763&tipo=0	
100796		Wilson José da Cunha	Wilson Cunha		MG		ARENA,PL,PDS,PDC,PTB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/73598.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100796&tipo=0	
100821		José Domingos de Magalhães	José Magalhães		MT		PTB,PSC,PFL,PSDB,PMDB	Economista e Professor								http://www.camara.gov.br/internet/deputado/bandep/73600.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100821&tipo=0	
100827		Moacir Piovesan	Moacir Piovesan		PR		ARENA,MDB,PTB,PDT	Serventuário da Justiça								http://www.camara.gov.br/internet/deputado/bandep/73601.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100827&tipo=0	
102286		Welson Gasparini	Welson Gasparini		SP		PDC,PRP,ARENA,PDC,PPR,PSDB	Advogado, Jornalista, Radialista e Professor								http://www.camara.gov.br/internet/deputado/bandep/73644.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102286&tipo=0	
